Date,Weighted_sentiment_by_day
2008-06-08,89.3280632411067
2008-06-09,97.6284584980237
2008-06-10,97.6284584980237
2008-06-11,99.99999999999999
2008-06-12,96.83794466403161
2008-06-13,79.05138339920947
2008-06-14,81.0276679841897
2008-06-15,99.99999999999999
2008-06-16,96.83794466403161
2008-06-17,96.04743083003952
2008-06-18,90.51383399209486
2008-06-19,97.6284584980237
2008-06-20,98.4189723320158
2008-06-21,90.1185770750988
2008-06-22,99.99999999999999
2008-06-23,87.74703557312252
2008-06-24,87.35177865612647
2008-06-25,92.88537549407114
2008-06-26,99.20948616600789
2008-06-27,73.12252964426877
2008-06-28,74.30830039525691
2008-06-29,81.42292490118577
2008-06-30,94.46640316205533
2008-07-01,87.74703557312252
2008-07-02,91.69960474308299
2008-07-03,96.44268774703555
2008-07-04,99.99999999999999
2008-07-05,94.46640316205533
2008-07-06,91.30434782608694
2008-07-07,89.3280632411067
2008-07-08,99.99999999999999
2008-07-09,94.07114624505927
2008-07-10,99.99999999999999
2008-07-11,94.86166007905136
2008-07-12,95.25691699604742
2008-07-13,77.47035573122528
2008-07-14,94.86166007905136
2008-07-15,99.99999999999999
2008-07-16,99.99999999999999
2008-07-17,99.99999999999999
2008-07-18,99.99999999999999
2008-07-19,99.99999999999999
2008-07-20,98.02371541501975
2008-07-21,99.99999999999999
2008-07-22,94.46640316205533
2008-07-23,99.99999999999999
2008-07-24,78.26086956521739
2008-07-25,97.23320158102766
2008-07-26,84.58498023715414
2008-07-27,99.99999999999999
2008-07-28,99.99999999999999
2008-07-29,99.99999999999999
2008-07-30,99.99999999999999
2008-07-31,86.95652173913042
2008-08-01,99.99999999999999
2008-08-02,92.09486166007903
2008-08-03,91.30434782608694
2008-08-04,85.77075098814228
2008-08-05,96.04743083003952
2008-08-06,99.99999999999999
2008-08-07,93.28063241106717
2008-08-08,86.16600790513833
2008-08-09,99.99999999999999
2008-08-10,91.699604743083
2008-08-11,99.99999999999999
2008-08-12,81.81818181818181
2008-08-13,94.46640316205533
2008-08-14,93.28063241106717
2008-08-15,87.74703557312252
2008-08-16,92.09486166007905
2008-08-17,92.09486166007905
2008-08-18,99.99999999999999
2008-08-19,93.67588932806323
2008-08-20,99.99999999999999
2008-08-21,99.99999999999999
2008-08-22,97.23320158102766
2008-08-23,92.88537549407114
2008-08-24,99.99999999999999
2008-08-25,94.86166007905138
2008-08-26,99.99999999999999
2008-08-27,99.99999999999999
2008-08-28,99.99999999999999
2008-08-29,82.21343873517786
2008-08-30,99.99999999999999
2008-08-31,99.99999999999999
2008-09-01,94.07114624505928
2008-09-02,88.53754940711461
2008-09-03,94.46640316205533
2008-09-04,97.6284584980237
2008-09-05,99.99999999999999
2008-09-06,99.99999999999999
2008-09-07,99.99999999999999
2008-09-08,99.99999999999999
2008-09-09,99.99999999999999
2008-09-10,91.69960474308299
2008-09-11,99.99999999999999
2008-09-12,97.6284584980237
2008-09-13,93.67588932806323
2008-09-14,98.81422924901185
2008-09-15,98.81422924901185
2008-09-16,99.99999999999999
2008-09-17,99.99999999999999
2008-09-18,94.46640316205531
2008-09-19,99.99999999999999
2008-09-20,95.65217391304346
2008-09-21,99.99999999999999
2008-09-22,92.88537549407114
2008-09-23,98.02371541501975
2008-09-24,99.99999999999999
2008-09-25,99.99999999999999
2008-09-26,99.99999999999999
2008-09-27,94.46640316205533
2008-09-28,97.6284584980237
2008-09-29,99.99999999999999
2008-09-30,83.39920948616599
2008-10-01,99.99999999999999
2008-10-02,99.99999999999999
2008-10-03,96.04743083003952
2008-10-04,99.99999999999999
2008-10-05,93.67588932806323
2008-10-06,93.67588932806323
2008-10-07,90.90909090909089
2008-10-08,92.09486166007905
2008-10-09,99.99999999999999
2008-10-10,94.46640316205533
2008-10-11,99.99999999999999
2008-10-12,99.99999999999999
2008-10-13,99.99999999999999
2008-10-14,94.86166007905136
2008-10-15,91.69960474308299
2008-10-16,99.99999999999999
2008-10-17,88.14229249011856
2008-10-18,99.99999999999999
2008-10-19,99.99999999999999
2008-10-20,99.99999999999999
2008-10-21,87.74703557312252
2008-10-22,98.4189723320158
2008-10-23,84.58498023715414
2008-10-24,94.86166007905136
2008-10-25,99.99999999999999
2008-10-26,99.99999999999999
2008-10-27,95.65217391304346
2008-10-28,99.99999999999999
2008-10-29,97.6284584980237
2008-10-30,99.99999999999999
2008-10-31,99.99999999999999
2008-11-01,91.30434782608694
2008-11-02,94.86166007905136
2008-11-03,94.86166007905136
2008-11-04,91.69960474308299
2008-11-05,92.88537549407114
2008-11-06,96.83794466403161
2008-11-07,99.99999999999999
2008-11-08,94.07114624505927
2008-11-09,99.99999999999999
2008-11-10,97.6284584980237
2008-11-11,93.28063241106717
2008-11-12,99.99999999999999
2008-11-13,92.49011857707508
2008-11-14,83.79446640316205
2008-11-15,98.02371541501975
2008-11-16,99.60474308300394
2008-11-17,99.99999999999999
2008-11-18,99.99999999999999
2008-11-19,99.99999999999999
2008-11-20,84.1897233201581
2008-11-21,95.25691699604742
2008-11-22,99.99999999999999
2008-11-23,95.25691699604742
2008-11-24,74.30830039525691
2008-11-25,97.23320158102766
2008-11-26,98.02371541501975
2008-11-27,99.99999999999999
2008-11-28,92.09486166007903
2008-11-29,98.02371541501975
2008-11-30,91.69960474308299
2008-12-01,98.81422924901185
2008-12-02,94.86166007905136
2008-12-03,89.3280632411067
2008-12-04,92.49011857707508
2008-12-05,99.99999999999999
2008-12-06,94.07114624505927
2008-12-07,99.99999999999999
2008-12-08,93.28063241106717
2008-12-09,76.28458498023714
